"created_at","id","id_str","text","truncated","entities:hashtags","entities:symbols","entities:user_mentions","entities:urls:url","entities:urls:expanded_url","entities:urls:display_url","entities:urls:indices","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:url:urls:url","user:entities:url:urls:expanded_url","user:entities:url:urls:display_url","user:entities:url:urls:indices","user:entities:description:urls:url","user:entities:description:urls:expanded_url","user:entities:description:urls:display_url","user:entities:description:urls:indices","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_banner_url","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","lang"
"Wed Apr 03 06:06:23 +0000 2019",1113321829303586818,"1113321829303586818","Manus, father of being shot to death. #DarkSouls #DarkSoulsRemastered #NintendoSwitch https://t.co/aJRcpy6Puo",FALSE,"((text . DarkSouls) (indices . #(38 48)))","()","()",NA,NA,NA,NA,"en","recent","<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>",NA,NA,NA,NA,NA,1113084862070546438,"1113084862070546438","Dark Souls Is Easy","is_souls","","DaRk SoULs IS hArD",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0,"Tue Apr 02 14:24:46 +0000 2019",0,NA,NA,FALSE,FALSE,3,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1113085164853157888/mfgv-r4t_normal.jpg","https://pbs.twimg.com/profile_images/1113085164853157888/mfgv-r4t_normal.jpg",NA,"1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 06:00:04 +0000 2019",1113320241516437504,"1113320241516437504","Marathon marathon- zeldapril! day 21! zelda 1 is the Dark Souls of a diamond ti",FALSE,"()","()","()",NA,NA,NA,NA,"en","recent","<a href=""http://www.example.com"" rel=""nofollow"">x-darksouls-y</a>",NA,NA,NA,NA,NA,895407844455051264,"895407844455051264","X DarkSouls Y","x_darksouls_y","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,44,0,1,"Wed Aug 09 22:14:00 +0000 2017",0,NA,NA,FALSE,FALSE,28051,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/897858100903989248/O1Q94w9V_normal.jpg","https://pbs.twimg.com/profile_images/897858100903989248/O1Q94w9V_normal.jpg",NA,"1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Wed Apr 03 05:59:15 +0000 2019",1113320033982263296,"1113320033982263296","Best of #PS4 #PS3 &amp; #FromSoftware
#DarkSouls
#DarkSouls3
#BloodBorne https://t.co/hozGaL8zoY",FALSE,"((text . PS4) (indices . #(8 12)))","()","()",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1113318734998003713,"1113318734998003713",1028891944825569281,"1028891944825569281","GhostOfSekiro",1028891944825569281,"1028891944825569281","Ghost Of Sekiro","GhostOfSekiro"," ","PSN: DarkerMoonlight 🎮 FINAL FANTASY / Nioh / SEKIRO / Ghost Of Tsushima / DBZ / Ninja Gaiden / https://t.co/vsvt8udpPk","https://t.co/mGQIv8tDa9","https://t.co/mGQIv8tDa9","https://www.youtube.com/dashboard?o=U&noapp=1&client=mv-google&app=desktop","youtube.com/dashboard?o=U&…","0","https://t.co/vsvt8udpPk","http://psnprofiles.com/DarkerMoonlight","psnprofiles.com/DarkerMoonlight","96",FALSE,115,183,1,"Mon Aug 13 06:32:10 +0000 2018",5800,NA,NA,FALSE,FALSE,3252,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1111692208590213120/XotpZEDl_normal.jpg","https://pbs.twimg.com/profile_images/1111692208590213120/XotpZEDl_normal.jpg","https://pbs.twimg.com/profile_banners/1028891944825569281/1553501760","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 05:57:15 +0000 2019",1113319533098307584,"1113319533098307584","My friend! #DarkSouls #DarkSoulsRemastered #NintendoSwitch https://t.co/KC5tjIIGQY",FALSE,"((text . DarkSouls) (indices . #(11 21)))","()","()",NA,NA,NA,NA,"en","recent","<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>",NA,NA,NA,NA,NA,1109604725362581505,"1109604725362581505","Yukupo","YukupoGaming","","This is where I post screenshots and videos from PS4 and Switch. Pretty cool, huh?",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,5,0,"Sat Mar 23 23:55:56 +0000 2019",3,NA,NA,FALSE,FALSE,37,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1109605045366972416/2yn5QZqD_normal.png","https://pbs.twimg.com/profile_images/1109605045366972416/2yn5QZqD_normal.png",NA,"981CEB","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 05:56:38 +0000 2019",1113319374486507521,"1113319374486507521","『서고탑 감옥 열쇠』
공작의 서고탑에 지어진 감옥의 열쇠.

귀중한 장서가 가득하던 서고탑은 시스의 광기와 함께 감옥으로 변하였고 책의 가치도 개의치 않는 뱀인간이 간수가 되었다.

그리고 서고탑 밑에는 무… https://t.co/uA8xuRbzAf",TRUE,"()","()","()","https://t.co/uA8xuRbzAf","https://twitter.com/i/web/status/1113319374486507521","twitter.com/i/web/status/1…","117","ko","recent","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",NA,NA,NA,NA,NA,1227874122,"1227874122","다크소울 문구들","darksouls_txt","","다크소울 시리즈 아이템 설명과 대사들을 자동트윗. 스포일러 주의⚠️ 트위터 글자수 제한으로 일부분만 올리기도 합니다.  옮겨오는 중이라 잘리거나 이상하게 나오는 트윗이 있을 수 있습니다!😂",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,211,0,0,"Thu Feb 28 16:24:52 +0000 2013",0,NA,NA,FALSE,FALSE,13810,"ko",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/930422753014042624/XZZFBInl_normal.jpg","https://pbs.twimg.com/profile_images/930422753014042624/XZZFBInl_normal.jpg","https://pbs.twimg.com/profile_banners/1227874122/1527867628","ABB8C2","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"ko"
"Wed Apr 03 05:54:36 +0000 2019",1113318862974443520,"1113318862974443520","樹が動いている？",FALSE,"()","()","()",NA,NA,NA,NA,"ja","recent","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",NA,NA,NA,NA,NA,263337745,"263337745","Dark Souls","DarkSouls_bot","火継ぎの祭祀場","PS3アクションソフト「Dark Souls」の定型文メッセージ＋αのbotです。狂気のフィールドに赤く刻まれたプレイヤーたちの言霊。”心が折れそうだ・・・.” ご要望等はメッセージにてお願い致します。","http://t.co/0m1FYxTY3n","http://t.co/0m1FYxTY3n","http://www.fromsoftware.jp/darksouls/","fromsoftware.jp/darksouls/","0",NA,NA,NA,NA,FALSE,2036,2777,8,"Wed Mar 09 21:16:49 +0000 2011",2,NA,NA,FALSE,FALSE,95170,"en",FALSE,FALSE,FALSE,"0A0A0A","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/3107404852/d0f7622c3568f990d251724cb91dc29f_normal.jpeg","https://pbs.twimg.com/profile_images/3107404852/d0f7622c3568f990d251724cb91dc29f_normal.jpeg",NA,"0084B4","FFFFFF","000000","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"ja"
"Wed Apr 03 05:51:28 +0000 2019",1113318077070864385,"1113318077070864385","Ready... for... battle... Just let me catch my breath... #DarkSouls #DarkSoulsRemastered #NintendoSwitch https://t.co/J8TRMfFvK8",FALSE,"((text . DarkSouls) (indices . #(57 67)))","()","()",NA,NA,NA,NA,"en","recent","<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>",NA,NA,NA,NA,NA,1109604725362581505,"1109604725362581505","Yukupo","YukupoGaming","","This is where I post screenshots and videos from PS4 and Switch. Pretty cool, huh?",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,5,0,"Sat Mar 23 23:55:56 +0000 2019",3,NA,NA,FALSE,FALSE,37,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1109605045366972416/2yn5QZqD_normal.png","https://pbs.twimg.com/profile_images/1109605045366972416/2yn5QZqD_normal.png",NA,"981CEB","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 05:48:52 +0000 2019",1113317421048139777,"1113317421048139777","Gonna be streaming more Dark Souls 3 tonight, hope to invade tooons of other players 😎 #darksouls #darksouls3… https://t.co/5q9wmI6aWu",TRUE,"((text . darksouls) (indices . #(87 97)))","()","()","https://t.co/5q9wmI6aWu","https://twitter.com/i/web/status/1113317421048139777","twitter.com/i/web/status/1…","111","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,1087867633230241793,"1087867633230241793","Rad Shaz","rad_shazz","New South Wales, Australia","I play guitar in a metalcore band called Ten Years Too Late and stream games on Twitch :)","https://t.co/lFH2oTLI6p","https://t.co/lFH2oTLI6p","https://www.twitch.tv/rad_shaz","twitch.tv/rad_shaz","0",NA,NA,NA,NA,FALSE,19,37,0,"Wed Jan 23 00:20:30 +0000 2019",172,NA,NA,FALSE,FALSE,110,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1087868279840886785/TX8LF5Aj_normal.jpg","https://pbs.twimg.com/profile_images/1087868279840886785/TX8LF5Aj_normal.jpg","https://pbs.twimg.com/profile_banners/1087867633230241793/1553404811","E81C4F","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,5,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 05:47:00 +0000 2019",1113316950480891911,"1113316950480891911","Here Again?! | DARK SOULS: REMASTERED 100% Part 32 https://t.co/mK346Yebl3 via @YouTubeGaming #darksouls",FALSE,"((text . darksouls) (indices . #(94 104)))","()","((screen_name . YouTubeGaming) (name . YouTube Gaming) (id . 3300594994) (id_str . 3300594994) (indices . #(79 93)))","https://t.co/mK346Yebl3","https://youtu.be/Ewao8ze32rA","youtu.be/Ewao8ze32rA","51","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,1047923866163589120,"1047923866163589120","lauralee","laurale72117987","Canada","I can come up with a great come back days after the initial argument 👌🏻",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3,11,0,"Thu Oct 04 18:58:14 +0000 2018",34,NA,NA,FALSE,FALSE,35,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1074914713371213824/QrWWuYIh_normal.jpg","https://pbs.twimg.com/profile_images/1074914713371213824/QrWWuYIh_normal.jpg","https://pbs.twimg.com/profile_banners/1047923866163589120/1545114662","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 05:46:28 +0000 2019",1113316816397455360,"1113316816397455360","@AquaFPSgaming Finally darksouls live-streams really getting making me crazy",FALSE,"()","()","((screen_name . AquaFPSgaming) (name . AquaFPS) (id . 728598046230102016) (id_str . 728598046230102016) (indices . #(0 14)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1113314823268380673,"1113314823268380673",728598046230102016,"728598046230102016","AquaFPSgaming",2319140705,"2319140705","Izarah","Izarah_","Florida, USA","I like burritos I also make content as well https://t.co/1mHuFz73Wa Twitch: Izarah_",NA,NA,NA,NA,NA,"https://t.co/1mHuFz73Wa","https://www.youtube.com/channel/UCU40OdngbUhgsDn6CRhszaA","youtube.com/channel/UCU40O…","44",FALSE,141,151,2,"Sun Feb 02 01:54:02 +0000 2014",1087,NA,NA,TRUE,FALSE,37,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1109466394788274179/GU37rt3v_normal.jpg","https://pbs.twimg.com/profile_images/1109466394788274179/GU37rt3v_normal.jpg","https://pbs.twimg.com/profile_banners/2319140705/1553647422","3B94D9","C0DEED","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"en"
